Type,Series,Car,Axle,Position,Time,Mileage,tamian,zhijing
C70A,3,17,110857,4,193,85591,1.3,NA
C70A,3,17,84,5,193,85591,0.9,NA
C70A,3,17,84,6,193,85591,1.2,NA
C70A,3,17,201568,7,193,85591,0.4,NA
C70A,3,17,201568,8,193,85591,0.8,NA
C70A,3,17,200531,1,239,106130,1.8,822
C70A,3,17,200531,2,239,106130,1.2,823.2
C70A,3,17,110857,3,239,106130,1.6,821
C70A,3,17,110857,4,239,106130,2.6,819.8
C70A,3,17,84,5,239,106130,2.3,817.9
C70A,3,17,84,6,239,106130,1.1,820.6
C70A,3,17,201568,7,239,106130,1.3,821.2
C70A,3,17,201568,8,239,106130,1.8,820.4
C70A,3,18,107540,1,0,0,NA,NA
C70A,3,18,107540,2,0,0,NA,NA
C70A,3,18,152084,3,0,0,NA,NA
C70A,3,18,152084,4,0,0,NA,NA
C70A,3,18,13239,5,0,0,0,820.8
C70A,3,18,13239,6,0,0,0,820
C70A,3,18,4973,7,0,0,NA,821.1
C70A,3,18,4973,8,0,0,NA,820.5
C70A,3,18,107540,1,137,58572,0.5,NA
C70A,3,18,107540,2,137,58572,0.4,NA
C70A,3,18,152084,3,137,58572,0.6,NA
C70A,3,18,152084,4,137,58572,0.7,NA
C70A,3,18,13239,5,137,58572,0.5,NA
C70A,3,18,13239,6,137,58572,0.6,NA
C70A,3,18,4973,7,137,58572,2.5,NA
C70A,3,18,4973,8,137,58572,2.7,NA
C70A,3,18,107540,1,193,85591,1.2,NA
